Abbeville County,South Carolina,Abbeville County Registration &amp; Elections,(864) 366-2400,"",ocd-division/country:us/state:sc/county:abbeville
Aiken County,South Carolina,Aiken County Board of Voter Registration ,(803) 642-2028,http://www.aikencounty.net/DspSvc.cfm?qSvcID=36,ocd-division/country:us/state:sc/county:aiken
Allendale County,South Carolina,Allendale County Board of Voter Registration,(803) 584-4178,"",ocd-division/country:us/state:sc/county:allendale
Anderson County,South Carolina,Anderson County Board of Voter Registration ,(864) 260-4035,http://www.andersoncountysc.org/web/Voter_00.asp,ocd-division/country:us/state:sc/county:anderson
Bamberg County,South Carolina,Bamberg County Board of Voter Registration ,(803) 245-3028,"",ocd-division/country:us/state:sc/county:bamberg
Barnwell County,South Carolina,Barnwell County Board of Voter Registration,(803) 541-1060,"",ocd-division/country:us/state:sc/county:barnwell
Beaufort County,South Carolina,Beaufort County Board of Elections &amp; Registration ,(843) 255-6900,"",ocd-division/country:us/state:sc/county:beaufort
Berkeley County,South Carolina,Berkeley County Board of Voter Registration ,(843) 719-4056,http://www.berkeleycountysc.gov/dept/elections/,ocd-division/country:us/state:sc/county:berkeley
Calhoun County,South Carolina,Calhoun County Board of Voter Registration ,(803) 874-2929,"",ocd-division/country:us/state:sc/county:calhoun
Charleston County,South Carolina,Charleston County Board of Voter Registration,(843) 744-8683,http://www.charlestoncounty.org/departments/BEVR/index.htm,ocd-division/country:us/state:sc/county:charleston
Cherokee County,South Carolina,Cherokee County Board of Voter Registration ,(864) 487-2563,"",ocd-division/country:us/state:sc/county:cherokee
Chester County,South Carolina,Chester County Board of Voter Registration ,(803) 385-2562,"",ocd-division/country:us/state:sc/county:chester
Chesterfield County,South Carolina,Chesterfield County Board of Voter Registration ,(843) 623-2265,"",ocd-division/country:us/state:sc/county:chesterfield
Clarendon County,South Carolina,Clarendon County Board of Voter Registration ,(803) 435-8215,"",ocd-division/country:us/state:sc/county:clarendon
Colleton County,South Carolina,Colleton County Board of Voter Registration ,(843) 549-2842,"",ocd-division/country:us/state:sc/county:colleton
Darlington County,South Carolina,Darlington County Board of Elections and Registration,(843) 398-4900,"",ocd-division/country:us/state:sc/county:darlington
Dillon County,South Carolina,Dillon County Board of Voter Registration ,(843) 774-1403,"",ocd-division/country:us/state:sc/county:dillon
Dorchester County,South Carolina,Dorchester County Board of Elections and Voter Registration ,(843) 563-0132,"",ocd-division/country:us/state:sc/county:dorchester
Edgefield County,South Carolina,Edgefield County Board of Voter Registration ,(803) 637-4072,"",ocd-division/country:us/state:sc/county:edgefield
Fairfield County,South Carolina,Fairfield County Board of Voter Registration ,(803) 635-6255,"",ocd-division/country:us/state:sc/county:fairfield
Florence County,South Carolina,Florence County Board of Voter Registration ,(843) 665-3094,"",ocd-division/country:us/state:sc/county:florence
